gene	SRX007811	SRX008015	SRX008027	SRX008025	SRX008010	SRX008005	SRX008018	SRX008007	SRX008006	SRX008020	SRX008011	SRX008019	SRX008026	SRX008008	SRX008009	SRX008029	SRX008014	SRX008156	SRX008023	SRX008016	SRX008013	SRX008022	SRX008024	SRX008012	SRX008028	SRX008021	SRX008171	SRX008155	SRX008017	SRX008157
FBgn0031159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0031161	1646	1354	2310	2405	3309	4812	5397	2342	1882	1520	1183	2327	1974	1926	779	1411	2471	6565	7609	5463	3987	2149	2148	3790	4030	3272	4397	3352	3360	10223
FBgn0031163	0	1	0	0	0	0	2	1	1	4	2	5	1	1	12	203	446	902	1395	1924	1	1	0	1804	2395	2596	2365	2133	786	919
FBgn0031164	0	0	0	0	0	2	0	2	0	1	0	1	1	0	0	39	118	215	410	541	0	1	0	1010	1410	1138	727	893	560	200
FBgn0031168	0	1	0	2	7	4	5	21	26	42	9	30	11	17	10	69	183	384	645	836	10	12	4	1812	1991	2097	1361	1606	784	338
FBgn0031169	24	18	18	15	17	11	46	21	13	30	18	62	17	16	27	127	358	609	1104	1607	35	26	12	1339	2344	1909	1557	1420	798	697
FBgn0031170	4343	3898	3417	1828	1751	1770	5172	3138	2982	2928	2943	6720	2601	3841	1443	2857	1993	1574	1852	1839	5736	4032	3865	5078	6834	5242	2424	2560	3595	873
FBgn0031171	233	99	150	58	60	53	57	31	24	22	10	24	13	11	12	217	538	982	2178	3006	395	346	373	4268	7252	5627	3695	4202	2445	1146
FBgn0031174	7984	4388	14558	8573	7593	13967	12961	9405	5852	5599	2336	4634	5310	9549	2979	2915	3845	5899	4534	5929	7552	5780	4715	6198	9121	6301	6086	4295	3529	6424
FBgn0031176	0	0	0	1	11	0	0	0	1	1	0	0	0	0	0	3	0	0	4	11	7853	10720	6157	12393	22693	22196	21	11	646	25
FBgn0031178	13	6	92	107	36	14	13	26	23	73	271	738	4149	2686	121	3223	3259	2094	28	30	6	1	1	6	12	2	23	24	2	828
FBgn0031181	1	0	3	1	2	1	3	6	3	8	2	6	0	4	0	0	0	4	1	10	13	11	10	7	28	18	23	42	8	4
FBgn0031182	1170	34	29	47	64	290	477	325	130	47	4	15	2	6	18	327	262	306	348	1072	1573	1205	980	1881	1186	1461	1243	1557	253	309
FBgn0031183	5812	2702	4143	3018	2867	3593	4948	3512	2508	2294	1013	2123	3388	4806	1410	904	1104	1803	1718	1657	4353	3088	2818	2361	4067	2395	2106	2254	1785	2220
FBgn0031184	844	306	436	219	246	413	564	524	597	671	461	1002	780	1797	468	137	73	145	82	88	1078	1151	928	1015	1400	1335	318	2315	297	153
FBgn0031186	9660	12157	18664	9640	8722	7715	12521	5965	4572	2740	2175	4939	2740	3686	1250	1519	2821	5928	5074	5746	5128	5638	5207	1786	2441	1909	4691	2915	1392	6403
FBgn0031187	2109	1757	4672	2541	2784	3095	5802	4239	4028	4035	2103	4940	3744	4459	1517	1013	1686	3131	2989	3035	3864	1850	1965	6016	6382	5312	4374	9223	8981	2726
FBgn0031188	5169	831	594	446	684	1608	2563	2159	1870	1729	786	1540	3000	4031	1213	991	1208	1922	2267	2516	3923	3469	3067	2845	4401	3377	4107	3969	2695	1927
FBgn0031189	2006	303	974	1067	1063	2178	2025	1176	695	674	485	890	2101	1660	439	312	366	617	740	692	1596	1411	1185	511	670	413	766	660	436	630
FBgn0031190	8304	1892	5625	2745	2234	3136	3641	2233	2354	6562	11264	21537	4548	3719	7133	2953	5469	11985	8685	5243	8921	5272	5123	6282	7089	5782	4142	4456	5358	11815
FBgn0031191	2452	974	4110	2800	1999	1756	1921	1389	1219	1265	401	801	524	832	228	349	463	796	1411	1533	1111	1412	1194	2263	3686	2649	1772	1951	1257	838
FBgn0031194	6951	2137	8084	6687	6428	8278	8963	5377	4198	3126	1658	3238	3593	4602	1470	1569	2178	3858	3797	4271	4551	3752	3499	2329	3218	2127	3222	2253	1568	4908
FBgn0031195	1559	609	1901	1718	1482	1884	2584	4845	3121	2688	358	834	720	3135	688	556	540	1234	1399	1391	1122	832	711	769	1305	873	6277	4770	1139	1180
FBgn0031196	10	7	12	38	57	283	536	370	256	241	52	145	73	78	16	7	5	12	43	121	30	16	13	49	82	34	238	166	75	10
FBgn0031197	2	1	1	0	3	1	3	3	1	3	0	1	0	2	4	18	26	41	51	57	2	0	2	47	81	91	79	44	22	53
FBgn0031201	16	5	8	12	10	22	18	23	7	27	9	22	15	4	1	43	150	268	812	776	17	15	9	1170	2117	1560	974	1077	640	322
FBgn0031208	7	57	182	67	49	24	95	55	66	52	8	37	20	28	10	115	272	574	827	1107	12	11	5	1502	2092	1759	1633	1693	728	566
FBgn0031209	61	45	51	25	48	91	163	145	235	225	73	256	77	193	64	92	154	295	223	186	77	81	51	220	175	227	290	482	115	261
FBgn0031213	2367	465	330	146	267	534	2207	1873	3496	2858	1591	4778	1991	2591	1266	2075	2675	4896	3220	2649	2509	2503	2553	2728	2440	2229	3875	5922	2162	3209
FBgn0031214	0	1	9	3	4	15	41	26	81	65	24	97	43	29	12	27	50	95	88	109	20	8	10	120	129	101	155	130	29	82
FBgn0031216	4125	6569	22879	10162	10426	6759	23025	4828	5528	3269	3082	7759	2153	2864	1093	1263	2724	7408	9022	8929	2142	2941	3276	2190	1941	1919	7281	4624	1053	9064
FBgn0031217	4215	912	6283	3471	3338	3707	4032	2741	2284	1476	418	906	2198	6348	1348	953	1228	2335	2326	2613	3706	3114	3227	1990	3059	1883	2201	1402	834	2813
FBgn0031219	3	3	13	15	14	55	108	31	188	374	46	74	91	159	121	94	60	58	37	54	7	9	11	37	57	45	82	54	52	50
FBgn0031220	11	30	116	555	1028	4113	9644	2115	1071	381	169	541	488	982	630	1405	5076	15411	6345	5996	1285	1100	785	2440	3249	2635	7702	1236	432	14619
FBgn0031224	1266	621	3397	2219	1762	2461	2427	1645	1266	1159	582	1278	1614	1951	624	862	918	1535	1952	1856	1506	833	812	1140	1498	1045	1695	1506	847	1547
FBgn0031227	696	566	1190	611	653	705	1383	265	357	173	158	467	641	973	253	143	223	462	474	444	327	548	699	336	254	335	538	390	153	487
